planificacion_slug;convocatoria_slug;adjudicacion_slug;precalificacion_slug;convenio_slug;nro_licitacion;nombre_licitacion;tipo_procedimiento;categoria;convocante;_etapa_licitacion;etapa_licitacion;fecha_entrega_oferta;tipo_licitacion;fecha_estimada;fecha_publicacion_convocatoria;geo
287477-adquisicion-mochila-uso-escolar-ad-referendum;287477-3er-llamado-adquisicion-mochila-uso-escolar-5,287477-2do-llamado-adquisicion-mochila-uso-escolar-ad-referendum-3,287477-adquisicion-mochila-uso-escolar-ad-referendum;287477-3er-llamado-adquisicion-mochila-uso-escolar-1;;;287477;3er LLAMADO, ADQUISICIÓN DE MOCHILA PARA USO ESCOLAR ;CO - Concurso de Ofertas;10 - Textiles, vestuarios y calzados;Gobierno Departamental de Amambay / Gobiernos Departamentales;ADJ;Adjudicada;24/8/2015 08:00;tradicional;31/1/2015 00:00;12/8/2015 16:33;
291414-adqusicion-articulos-electricos-ferreteria;291414-adqusicion-articulos-electricos-ferreteria-1;291414-adqusicion-articulos-electricos-ferreteria-1;;;291414;ADQUSICION DE ARTICULOS ELECTRICOS Y DE FERRETERIA;LPN - Licitación Pública Nacional;18 - Materiales e insumos eléctricos, metálicos y no metálicos, Plásticos, cauchos. Repuestos, herramientas, cámaras y cubiertas.;Dirección Nacional de Aeronaútica Civil / Empresas Públicas;ADJ;Adjudicada;19/10/2015 08:00;tradicional;31/8/2015 00:00;12/8/2015 16:31;
297763-adquisicion-placas-rejillas-1;297763-adquisicion-placas-rejillas-1;297763-adquisicion-placas-rejillas-1;;;297763;Adquisición de Placas y Rejillas;LPN - Licitación Pública Nacional;18 - Materiales e insumos eléctricos, metálicos y no metálicos, Plásticos, cauchos. Repuestos, herramientas, cámaras y cubiertas.;Industria Nacional del Cemento / Empresas Públicas;ADJ;Adjudicada;28/8/2015 10:00;tradicional;31/7/2015 00:00;12/8/2015 16:29;
298147-servicio-mantenimiento-reparacion-vehiculos-maquinarias-1;298147-servicio-mantenimiento-reparacion-vehiculos-maquinarias-1;298147-servicio-mantenimiento-reparacion-vehiculos-maquinarias-1;;;298147;Servicio de Mantenimiento y Reparacion de Vehiculos y Maquinarias varias ;CD - Contratación Directa;2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos;Municipalidad de Salto del Guairá / Municipalidades;ADJ;Adjudicada;19/8/2015 07:30;tradicional;31/8/2015 00:00;12/8/2015 16:27;
293988-adquisicion-contenedores-oficinas-senave;293988-adquisicion-contenedores-oficinas-senave-1;293988-adquisicion-contenedores-oficinas-senave-1;;;293988;ADQUISICION DE CONTENEDORES PARA OFICINAS DEL SENAVE;CO - Concurso de Ofertas;22 - Maquinarias, Equipos y herramientas mayores - Equipos de transporte;Servicio Nacional de Calidad y Sanidad Vegetal y de Semillas / Entes Autónomos y Autárquicos;ADJ;Adjudicada;2/9/2015 14:00;tradicional;31/7/2015 00:00;12/8/2015 16:00;
295777-construccion-cocina-comedor-esc-basica-nro-85-carlos-antonio-lopez-1;295777-construccion-cocina-comedor-esc-basica-nro-85-carlos-antonio-lopez-1;;;;295777;Construcción de una cocina comedor en la Esc. Básica Nro 85 Carlos Antonio López;CD - Contratación Directa;21 - Construcción, Restauración, Reconstrucción o Remodelación y Reparación de Inmuebles;Municipalidad de Villa Oliva / Municipalidades;EVAL;En Evaluacion (Cerrada);21/8/2015 07:30;tradicional;31/8/2015 00:00;12/8/2015 15:10;
298226-construccion-bano-sexado-escuela-basica-n-1-022-valle-kare-1;298226-construccion-bano-sexado-escuela-basica-n-1-022-valle-kare-1;298226-construccion-bano-sexado-escuela-basica-n-1-022-valle-kare-1;;;298226;CONSTRUCCION DE BAÑO SEXADO PARA LA ESCUELA BASICA Nº 1.022, VALLE KARE;CD - Contratación Directa;21 - Construcción, Restauración, Reconstrucción o Remodelación y Reparación de Inmuebles;Municipalidad de Itaugua / Municipalidades;ADJ;Adjudicada;25/8/2015 10:00;tradicional;31/7/2015 00:00;12/8/2015 15:00;
288369-adquisicion-papeleria-criterios-sustentabilidad-carton-e-impresos;288369-adquisicion-papeleria-criterios-sustentabilidad-carton-e-impresos-1;288369-adquisicion-papeleria-criterios-sustentabilidad-carton-e-impresos-1;;;288369;Adquisicion de Papeleria con criterios de Sustentabilidad, Carton e Impresos;CO - Concurso de Ofertas;11 - Utiles de oficina, Productos de papel y cartón e impresos;Presidencia de la República / Poder Ejecutivo;ADJ;Adjudicada;4/9/2015 09:00;tradicional;31/3/2015 00:00;12/8/2015 14:58;
298227-construccion-bano-sexado-escuela-basica-n-2-132-don-salvador-guanes-1;298227-construccion-bano-sexado-escuela-basica-n-2-132-don-salvador-guanes-1;298227-construccion-bano-sexado-escuela-basica-n-2-132-don-salvador-guanes-1;;;298227;CONSTRUCCION DE BAÑO SEXADO PARA LA ESCUELA BASICA Nº 2.132, Don Salvador Guanes;CD - Contratación Directa;21 - Construcción, Restauración, Reconstrucción o Remodelación y Reparación de Inmuebles;Municipalidad de Itaugua / Municipalidades;ADJ;Adjudicada;25/8/2015 08:00;tradicional;31/8/2015 00:00;12/8/2015 14:53;
292248-mantenimiento-reparacion-fotocopiadora;292248-mantenimiento-reparacion-fotocopiadora-1;292248-mantenimiento-reparacion-fotocopiadora-1;;;292248;MANTENIMIENTO Y REPARACION DE FOTOCOPIADORA;CO - Concurso de Ofertas;2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos;Ministerio de Justicia  / Poder Ejecutivo;ADJ;Adjudicada;26/8/2015 08:00;tradicional;31/7/2015 00:00;12/8/2015 14:48;
298174-mantenimiento-tractor-valtra-1;298174-mantenimiento-reparacion-tractor-valtra-1;298174-mantenimiento-reparacion-tractor-valtra-1;;;298174;MANTENIMIENTO Y REPARACIÓN DE TRACTOR VALTRA;CD - Contratación Directa;2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos;Municipalidad de Loma Plata / Municipalidades;ADJ;Adjudicada;21/8/2015 07:30;tradicional;31/8/2015 00:00;12/8/2015 14:41;
291283-asesoria-diseno-elaboracion-proyecto-ejecutivo-remodelacion-obras-casa-mat;291283-asesoria-diseno-elaboracion-proyecto-ejecutivo-remodelacion-obras-casa-matriz-agenci-1;291283-asesoria-diseno-elaboracion-proyecto-ejecutivo-remodelacion-obras-casa-matriz-agenci-1;118-2015-asesoria-diseno-elaboracion-proyecto-ejecutivo-obras-remodelacion-casa-matriz-agen;;291283;Asesoría, Diseño y Elaboración de Proyecto Ejecutivo de Remodelación de Obras Casa Matriz y Agencia Periférica;SCC - Selección basada en las calificaciones de los consultores ;5 - Consultorías, Asesorías e Investigaciones. Estudios y Proyectos de inversión;Banco Nacional de Fomento  / Entidades Financieras Oficiales;ADJ;Adjudicada;28/8/2015 10:00;tradicional;31/7/2015 00:00;12/8/2015 12:02;
297906-construccion-canaleta-pbc-tapa-hormigon-amado-1;297906-construccion-canaleta-pbc-tapa-hormigon-amado-1;297906-construccion-canaleta-pbc-tapa-hormigon-amado-1;;;297906;Construccion de Canaleta de PBC, con tapa de Hormigon Amado;CD - Contratación Directa;21 - Construcción, Restauración, Reconstrucción o Remodelación y Reparación de Inmuebles;Municipalidad de Pirayú / Municipalidades;ADJ;Adjudicada;26/8/2015 07:30;tradicional;31/7/2015 00:00;12/8/2015 11:56;
298171-empedrado-calle-gral-genes-e-heroes-guairenos-construccion-cuneta-benjamin-aceval-1;298171-empedrado-calle-gral-genes-e-heroes-guairenos-construccion-cuneta-benjamin-aceval-1;298171-empedrado-calle-gral-genes-e-heroes-guairenos-construccion-cuneta-benjamin-aceval-1;;;298171;Empedrado Calle Gral. Genes e/ Heroes Guaireños. y Construccion de Cuneta Benjamin Aceval ;CD - Contratación Directa;21 - Construcción, Restauración, Reconstrucción o Remodelación y Reparación de Inmuebles;Municipalidad de Villarrica / Municipalidades;ADJ;Adjudicada;26/8/2015 10:00;tradicional;31/7/2015 00:00;12/8/2015 11:06;
288668-servicios-mantenimientos-reparaciones-vehiculos;288668-servicios-mantenimientos-reparaciones-vehiculos-1;288668-servicios-mantenimientos-reparaciones-vehiculos-1;;;288668;SERVICIOS DE MANTENIMIENTOS Y REPARACIONES DE VEHICULOS;CD - Contratación Directa;2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos;Consejo de la Magistratura / Poder Judicial;ADJ;Adjudicada;24/8/2015 09:30;tradicional;31/7/2015 00:00;12/8/2015 11:00;
298033-locacion-inmueble-1;298033-locacion-inmueble-1;298033-locacion-inmueble-1;;;298033;LOCACION DE INMUEBLE;LC - Locación de Inmuebles;3 - Adquisición y Locación de inmuebles. Alquiler de muebles;Direccion General de Migraciones / Ministerio del Interior / Poder Ejecutivo;ADJ;Adjudicada;17/8/2015 10:00;tradicional;31/7/2015 00:00;12/8/2015 10:04;
295608-construccion-empedrado-calle-maximo-gonzalez-ruta-n-1-tacuary-1;295608-construccion-empedrado-calle-maximo-gonzalez-ruta-n-1-tacuary-1;295608-construccion-empedrado-calle-maximo-gonzalez-ruta-n-1-tacuary-1;;;295608;CONSTRUCCION DE EMPEDRADO SOBRE LA CALLE MAXIMO GONZALEZ ENTRE RUTA N°1 Y TACUARY;CO - Concurso de Ofertas;21 - Construcción, Restauración, Reconstrucción o Remodelación y Reparación de Inmuebles;Municipalidad de Coronel Bogado / Municipalidades;ADJ;Adjudicada;25/8/2015 07:20;tradicional;31/5/2015 00:00;12/8/2015 09:49;
